id,regdate,first_name,last_name,email_address,homephone,street,city,state,zipcode
1,11/12/08 10:47,Allison,Nguyen,arannon@jumpstartlab.com,"",3155 19th St NW,Washington,DC,20010
2,11/12/08 13:23,Sarah,Hankins,pinalevitsky@jumpstartlab.com,"",2022 15th Street NW,Washington,DC,20009
69,12/8/08 20:31,Sofia,Murillo,lpohen@jumpstartlab.com,"","702 H St, suite 300",Washington,DC,20001
126,12/11/08 11:56,Katie,Baimas-george,svsullivan88@jumpstartlab.com,"",1123 Harvard St. unit R,Washington,DC,20009
351,12/19/08 10:40,Nate,Endres,rmaiorana@jumpstartlab.com,"",3332 Quesada St.,NW,DC,20015
359,12/19/08 12:32,Melanie,Stevenson,jebergma@jumpstartlab.com,"",3646 Warder St. NW,Washington,DC,20010
361,12/19/08 12:38,Aurora,Ortega,yfr42@jumpstartlab.com,"",520 N St SW,Washington,DC,20024
362,12/19/08 12:44,Justin,Chinana,ipesha226@jumpstartlab.com,"",3321 16th St NW,Washington,DC,20010
363,12/19/08 12:49,Lee,Sachs,bwd6273@jumpstartlab.com,"",1225 Otis St NE,Washington,DC,20017
367,12/19/08 12:58,Kristina,Trowbridge,oumandrell@jumpstartlab.com,"","110 Maryland Ave., NE, Suite 108",Washington,DC,20002
369,12/19/08 13:15,Sean,Modawal,ufmPalley@jumpstartlab.com,"",1718 Connecticut Ave. NW Suite 300,Washington,DC,20009
370,12/19/08 13:16,Michael,Murphy,bxthewsm@jumpstartlab.com,"",1718 Connecticut Ave. NW Suite 300,Washington,DC,20009
371,12/19/08 13:19,Callie,Mclaughlin,gdacyjamesrossi2@jumpstartlab.com,"","391 Michigan Ave., NE",Washington,DC,20017
372,12/19/08 13:30,Eva,Rotman,cgngo8456@jumpstartlab.com,"",PO Box 29132,Washington,DC,20017
478,12/20/08 14:05,Donna,Taylor,hmisJohnsonPS@jumpstartlab.com,"",1409 37th St NW,Washington,DC,20007
480,12/20/08 16:43,Dan,Fraissinet,kggoyer@jumpstartlab.com,"","Box #577150, Georgetown Univ.",Washington,DC,20057
577,1/5/09 15:32,William,Kristian,xokelly@jumpstartlab.com,"",812 Randolph St. NW,Washington,DC,20011
695,1/7/09 10:57,Jessie,Kurdyla,etcooke11@jumpstartlab.com,"","2915 Connecticut Avenue, NW Apt. 207",Washington,DC,20008
751,1/12/09 2:55,Sophie,Lade,cpagenkn@jumpstartlab.com,"",2505 13th St. NW,Washington,DC,20009
752,1/12/09 2:57,Lala,Leung,vsmcneal@jumpstartlab.com,"",2505 13th St. NW,Washington,DC,20009
782,1/15/09 16:08,Daryl,Gutbrod,tknt.jamie@jumpstartlab.com,"",2941 Chesapeake St NW,Washington,DC,20008
